cx,cy
-119.47509527206421,55.4890694140898
-119.46009367704391,55.48656574326466
-119.43676114082336,55.46464674203928
-119.39488381147385,55.49205848401695
-119.36747699975967,55.491638987665084
-119.36318546533585,55.46906095893827
-119.31121498346329,55.48689779173654
-119.20170575380325,55.469689569785785
-119.20177549123764,55.46763644564672
-119.14449959993362,55.4790832464023
-119.13270860910416,55.47755987898553
-119.12761241197586,55.472432138080194
-119.12736564874649,55.47056911802807
-119.10813823342323,55.483086838473476
-119.66913610696793,55.4303675955339
-119.58493709564209,55.45152702531854
-119.59542006254196,55.439237429777485
-119.59520727396011,55.43685479188771
-119.58133488893509,55.45381207644368
-119.57108348608017,55.44942447411687
-119.56214636564255,55.4275295527425
-119.55797284841537,55.42534969254547
-119.5085021853447,55.43952892271081
-119.49618011713028,55.44963232125194
-119.49757486581802,55.44219798409159
-119.44383412599564,55.44080895689628
-119.42774087190628,55.447809856738374
-119.39479798078537,55.44633718374479
-119.39564555883408,55.43798274280361
-119.36942964792252,55.432279620195104
-119.33096945285797,55.45688669320997
-119.34862107038498,55.45096051513943
-119.34828847646713,55.44770593317084
-119.28735941648483,55.45088193878348
-119.28471475839615,55.452058049401415
-119.28466647863388,55.44980721701194
-119.28431779146194,55.43390691117939
-119.193374812603,55.44527513557903
-119.0525159239769,55.45967488648523
-119.01096850633621,55.44670218359174
-119.00416105985641,55.43728822920595
-118.96876662969589,55.45171205996317
-118.98610979318619,55.439079009705026
-118.94390255212784,55.457157908374015
-118.89488250017166,55.43904732569054
-118.89273136854172,55.44100159570439
-119.78182822465897,55.40076120748577
-119.75688546895981,55.38509198373226
-119.72706466913223,55.418222056645405
-119.71056908369064,55.417930563712076
-119.70300525426865,55.38824644421507
-119.67644065618515,55.41990511149521
-119.63853567838669,55.40032185581816
-119.58848565816879,55.4124809132195
-119.60385471582413,55.400998626367695
-119.56847101449966,55.41155827471751
-119.50604662299156,55.4141766416751
-119.4789656996727,55.3947961636908
-119.37607616186142,55.41980372264884
-119.26828220486641,55.405268997840906
-119.20993477106094,55.415020703821156
-119.08791571855545,55.41791789010628
-119.0499758720398,55.40967814529756
-119.04393285512924,55.403584041950225
-119.00278776884079,55.41509167601362
-118.93692344427109,55.41245556600791
-118.9029935002327,55.4225361520586
-118.79934757947922,55.414645565089586
-118.79657953977585,55.416095425592715
-118.69108825922012,55.417509799999635
-119.79078859090805,55.36109324379565
-119.73609298467636,55.38334936293522
-119.75163906812668,55.37629016450646
-119.75183084607124,55.364280655653516
-119.7332176566124,55.35363736150545
-119.68329101800919,55.37221179816109
-119.67768520116806,55.361720587282576
-119.6328654885292,55.357234975737605
-119.57538574934006,55.36479520404886
-119.48168009519577,55.367485810559494
-119.47616547346115,55.367010550342115
-119.31081265211105,55.362807982659945
-119.21669393777847,55.37709367111397
-119.1884395480156,55.38965574917965
-118.94718557596207,55.40015963366396
-118.58655720949173,55.39173675525147
-118.51205617189407,55.374700894339554
-118.49751323461533,55.376143150679226
-119.8295196890831,55.31916261901728
-119.73129719495773,55.33379556427015
-119.6960985660553,55.3453931809347
-119.62481886148453,55.34552625379557
-119.63538140058517,55.331423065265
-119.56081330776215,55.336880319921065
-119.5684602856636,55.333927369770436
-119.57850784063339,55.32491390132782
-119.45077031850815,55.345703684276714
-119.45728272199631,55.3428191715974
-119.45059329271317,55.34381278229185
-119.39643949270248,55.34705215593348
-119.37563091516495,55.33192240533339
-119.32872712612152,55.337169278133224
-119.29615706205368,55.343115733973036
-119.28974658250809,55.338747564508445
-119.2228952050209,55.335464044473284
-119.24750715494156,55.332011120573966
-119.15113270282745,55.35283448857823
-119.07915025949478,55.34999750192064
-118.79339307546616,55.346598440845966
-118.77254158258438,55.345214483092974
-118.76531571149826,55.338626742799846
-118.5524234175682,55.343521289358534
-118.41129094362259,55.37036905587824
-118.37676554918289,55.35894760233427
-118.38916271924973,55.345151115063985
-119.83683407306671,55.31071819547495
-119.8411551117897,55.29543509424471
-119.74827289581299,55.30635340563857
-119.7503650188446,55.30084799128048
-119.71988707780838,55.314426492531055
-119.70195382833481,55.314901752748426
-119.70414787530899,55.30185110717929
-119.70233470201492,55.29658332292989
-119.70082193613052,55.29840832216462
-119.68904167413712,55.31038234492134
-119.66018110513687,55.287610410025835
-119.61416512727737,55.28677775412499
-119.54912692308426,55.31840980683296
-119.5269450545311,55.30810616532024
-119.45938557386398,55.309239185678464
-119.41213577985764,55.31275230920531
-119.3868800997734,55.29541228175428
-119.3508580327034,55.32049841706825
-119.34685081243515,55.29696606582495
-119.32262778282166,55.3039885107969
-119.32529389858246,55.30113568213206
-119.27361577749252,55.32590751202228
-119.20810014009476,55.31329220481226
-119.20407548546791,55.30908076560601
-119.20799821615219,55.31142158059666
-119.15570050477982,55.30806307506053
-119.15553957223892,55.30545484698758
-119.06129747629166,55.322744180015434
-119.00320619344711,55.32809751110395
-118.95131081342697,55.304478979341226
-118.8449290394783,55.31775077933153
-118.82211416959763,55.3195622600534
-118.79708379507065,55.31226057330041
-118.76100942492485,55.319513677897845
-118.74294608831406,55.31859484147759
-118.4372815489769,55.33913241967113
-118.38148087263107,55.3066960154486
-118.37818711996078,55.30975626879497
-118.3483824133873,55.324903762443185
-118.32413524389267,55.338056430539
-118.29635828733444,55.33586389673617
-118.18124860525131,55.32927108700072
-118.10550302267075,55.31378647543832
-118.0859711766243,55.31205779560766
-119.83671605587006,55.254115337265745
-119.8613615334034,55.247751286114934
-119.8415145277977,55.25057052972441
-119.8146441578865,55.27435635308365
-119.82216507196426,55.2596600398018
-119.79118019342422,55.27502805419087
-119.78917926549911,55.27683277565632
-119.78034406900406,55.27250980871907
-119.80599135160446,55.248604853465345
-119.75233644247055,55.252907542633324
-119.74765866994858,55.265530454006836
-119.66854959726334,55.25963215786905
-119.65682297945023,55.279352288488695
-119.6449863910675,55.275687715372584
-119.6319642663002,55.2658187785387
-119.62114959955215,55.261822156950714
-119.46405798196793,55.269551789126126
-119.42863672971725,55.287820791882055
-119.4219097495079,55.28357006449784
-119.40173417329788,55.27880478871829
-119.38362389802933,55.288373361094784
-119.34812754392624,55.267408682385906
-119.31923478841782,55.278084927909035
-119.3097934126854,55.280465031077654
